name,tabelog_rating,google_rating,address,places_data
芝大門 さくら,3.26,3.8,"Japan, 〒105-0012 Tokyo, Minato City, Shibadaimon, 2 Chome−2−8 境野ビル2F",
麻辣四川,3.12,4.3,"47 W 39th St, New York, NY 10018, United States",
REIKASAI GINZA,3.74,4.2,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 1 Chome−7−7 ポーラ銀座ビル 9F",
こばこ,3.10,4.7,"460 Park Ave S, New York, NY 10016, United States",
焼肉 大尚山,3.16,4.1,"5 Chome-24-6 Shiba, Minato City, Tokyo 108-0014, Japan",
肉寿司×刺身食べ放題 隠れ家個室 板前 池袋本店,3.02,2.7,"Japan, 〒171-0022 Tokyo, Toshima City, Minamiikebukuro, 1 Chome−20−11 東京都豊島区南池袋1-20-11 池袋第5ビル7F 森下池袋第五ビル 7階",
The MONSOON Cottage,3.19,4.4,"Japan, 〒141-0021 Tokyo, Shinagawa City, Kamiosaki, 2 Chome−16−4, Koyo Building, 4F",
スペイン魚介バル 新宿三丁目店,3.33,3.7,"Japan, 〒160-0022 Tokyo, Shinjuku City, Shinjuku, 3 Chome−4−8 京王フレンテ新宿三丁目３階",
寿司海路,3.38,4,"Japan, 〒106-0045 Tokyo, Minato City, Azabujuban, 1 Chome−5−25 麻布十番ハイツ 1階",
よりどり 新橋本店,3.01,4.6,"Japan, 〒105-0004 Tokyo, Minato City, Shinbashi, 4 Chome−11−5 ル・グラシエルＢＬＤＧ． 39 2F",
粋,3.39,4.4,"342 Bowery, New York, NY 10012, United States",
焼肉牛山道 小岩駅前店,3.09,4.6,"7 Chome-25-10 Minamikoiwa, Edogawa City, Tokyo 133-0056, Japan",
リストランテ･ヒロ チェントロ 丸ビル店,3.65,4.1,"Japan, 〒100-6390 Tokyo, Chiyoda City, Marunouchi, 2 Chome−4−1, Marunouchi Building, ３５階",
中俣酒造 館,3.42,4.2,"2 Chome-18-1 Hatchobori, Chuo City, Tokyo 104-0032, Japan",
牛恋 恵比寿店,3.24,4.4,"Japan, 〒150-0022 Tokyo, Shibuya City, Ebisuminami, 1 Chome−4−13 B1",
赤い壺,3.36,4.3,"Japan, 〒107-0061 Tokyo, Minato City, Kita-Aoyama, 3 Chome−5−9 レイカーズ青山 3階",
KATSUO,3.33,4.7,"143 Greene Ave, Brooklyn, NY 11238, United States",
Cucina del NABUCCO,3.48,4.1,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 2 Chome−4−12 MIKIMOTO Ginza 2 ７階",
大衆居酒屋 とりいちず 田町慶応仲通り店,3.02,3.7,"5 Chome-24-7 Shiba, Minato City, Tokyo 108-0014, Japan",
団らん,3.33,3.9,"Japan, 〒135-0048 Tokyo, Koto City, Monzennakacho, 2 Chome−6−5 横田ビル 1階",
三九厨房 渋谷店,3.04,4,"Japan, 〒150-0042 Tokyo, Shibuya City, Udagawacho, 13−8 渋谷ちとせ会館６F",
俺のイタリアン 渋谷,3.50,4.1,"Japan, 〒150-0042 Tokyo, Shibuya City, Udagawacho, 12−7 渋谷エメラルドビル 2階",
あろいな タイ料理,3.14,4.6,"16-5 145 Okuradanioku, Akashi, Hyogo 673-0867, Japan",
La maison du caviar 17℃,3.32,4.1,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 8 Chome−15−5 ＣＲＹＳＴＡＬ ＳＱＵＡＲＥ ＧＩＮＺＡ２ 1F",
DDSK サイゴン キッチン,3.46,3.7,"Japan, 〒135-0061 Tokyo, Koto City, Toyosu, 3 Chome−2−3 1F",
酒場  シナトラ 自由が丘店,3.47,4.1,"Japan, 〒158-0083 Tokyo, Setagaya City, Okusawa, 5 Chome−42−3 トレインチ自由が丘",
しゃぶ嶋/薩摩国鶏,3.36,4.4,"Japan, 〒154-0024 Tokyo, Setagaya City, Sangenjaya, 1 Chome−36−2 ＹＭＡビル 2F",
ivre.,3.01,,,No data found
健康美食　健美,3.34,3.2,"Japan, 〒105-0004 Tokyo, Minato City, Shinbashi, 3 Chome−9−7 黒瀧ビル 1～2F",
ビストロ ペア,3.06,4.4,"7-29 Senjuasahicho, Adachi City, Tokyo 120-0026, Japan",
焼鳥 ハレツバメ 新宿アイランドタワー店,3.19,4.6,"Japan, 〒163-1302 Tokyo, Shinjuku City, Nishishinjuku, 6 Chome−4−1 新宿アイランドアトリウム 2F",
上越やすだ 恵比寿店,3.48,4.3,"Japan, 〒150-0022 Tokyo, Shibuya City, Ebisuminami, 1 Chome−14−10 福隆ビル 1F",
LambCHAN,3.37,4.6,"4 Chome-9-4 Kamimeguro, Meguro City, Tokyo 153-0051, Japan",
京華楼,3.21,4.1,"138 Yamashitacho, Naka Ward, Yokohama, Kanagawa 231-0023, Japan",
九州料理 二代目もつ鍋わたり 三鷹店,3.25,4.5,"Japan, 〒181-0013 Tokyo, Mitaka, Shimorenjaku, 3 Chome−22−17 カーサMS3 1F",
肉庵 小滝野 浅草花川戸店,3.24,4.6,"Japan, 〒111-0033 Tokyo, Taito City, Hanakawado, 2 Chome−12−11 Prostyle 旅館 東京浅草 2F",
葡萄屋,3.36,3.7,"Japan, 〒670-0046 Hyogo, Himeji, Shinonomecho, 6 Chome−８−1",
四五六,3.46,4.3,"69 Mott St A, New York, NY 10013, United States",
いけす無門 新宿,3.44,3.9,"Japan, 〒160-0021 Tokyo, Shinjuku City, Kabukicho, 2 Chome−26−1 永和ビル 1 B1・1F・2F",
元氣七輪焼肉 牛繁 初台店,3.01,3.8,"Japan, 〒151-0061 Tokyo, Shibuya City, Hatsudai, 1 Chome−37 シャトー初台 2F",
酒亭 ぷくぷく,3.57,3.6,"Japan, 〒105-0004 Tokyo, Minato City, Shinbashi, 1 Chome−16−10 浅川ビル B1F",
八-HACHI-東京,3.33,3.7,"Japan, 〒101-0051 Tokyo, Chiyoda City, Kanda Jinbocho, 1 Chome−４２−3",
焼肉処 四季の家,3.10,4.1,"3 Chome-3-9 Amanuma, Suginami City, Tokyo 167-0032, Japan",
焼鳥 天赦,3.04,4.9,"Japan, 〒108-0075 Tokyo, Minato City, Konan, 2 Chome−2−2 富士ビル 7F",
シッダールタ パレス 雪谷 田園調布店,3.30,4.4,"11-8 Yukigayaotsukamachi, Ota City, Tokyo 145-0067, Japan",
ビストロ酒場 クラフト×クラフト,3.41,4.1,"1 Chome-12-4 Akabane, Kita City, Tokyo 115-0045, Japan",
